school_name,city,state,zip,school_url,price_calculator_url,in_state_tuition,out_of_state_tuition,attendance_cost,median_debt,student_size,net_price_public,net_price_private,median_earnings_10yrs,completion_rate,admission_rate,sat_average,first_generation,median_family_income,age_entry,completion_rate_imputed,admission_rate_imputed,sat_average_imputed,first_generation_imputed
Orange Coast College,Costa Mesa,CA,92626,www.orangecoastcollege.edu/,misweb.cccco.edu/npc/833/npcalc.htm,1202,8762,11863,9500.0,15636,3567,0,47348,0.4457,,,0.5051807506,17827,22,False,True,True,False
Otis College of Art and Design,Los Angeles,CA,90045-3505,www.otis.edu/,www.otis.edu/otis-net-price-calculator,52460,52460,68808,27000.0,1264,0,40314,58152,0.6498,0.8329,,0.2419354839,37380,21,False,False,True,False
Oxnard College,Oxnard,CA,93033-6699,www.oxnardcollege.edu/,www.oxnardcollege.edu/departments/student_services/financial_aid/index.shtml,1398,8146,8129,13500.0,5635,87,0,41393,0.3307,,,0.6403394256,22231,23,False,True,True,False
Hope International University,Fullerton,CA,92831-3199,www.hiu.edu/,www.hiu.edu/undergrad/finaid/,35700,35700,49503,23000.0,590,0,23636,49697,0.4571,0.3222,,0.3863134658,40565,22,False,False,True,False
Concorde Career College-San Diego,San Diego,CA,92113-1964,https://www.concorde.edu/campus/san-diego-california,https://enroll.myconcorde.edu/Npc,0,0,0,9500.0,730,0,24355,39169,0.6577,0.9582,,0.4736842105,18600,26,False,False,True,False
Palo Alto University,Palo Alto,CA,94304-1337,www.paloaltou.edu/,Not Available. We will work on replacing this,0,0,0,20500.0,32,0,0,83187,,,,0.4705882353,18766,28,True,True,True,False
Pacific Oaks College,Pasadena,CA,91103,https://www.pacificoaks.edu/,https://www.pacificoaks.edu/admissions/cost-financial-aid/financial-aid-services/,11692,11692,0,29105.0,398,0,0,52485,,0.3968,,0.5784883721,24828,34,True,False,True,False
Pacific School of Religion,Berkeley,CA,94709,www.psr.edu/,www.psr.edu/admissions/tuition-and-fees,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Pacific States University,Los Angeles,CA,90010-2263,www.psuca.edu/,www.psuca.edu/net-price-calculator/,7530,7530,0,13500.0,8,0,0,0,,0.3333,,,0,0,True,False,True,True
Pacific Union College,Angwin,CA,94508-9707,https://www.puc.edu/,https://puc.studentaidcalculator.com/survey.aspx,33678,33678,45219,27500.0,772,0,17770,70484,0.4311,0.4846,1075.0,0.2572463768,55384,21,False,False,False,False
University of the Pacific,Stockton,CA,95211-0197,www.pacific.edu/,https://pacific.studentaidcalculator.com/survey.aspx,53682,53682,64996,19500.0,3266,0,18447,78445,0.7134,0.9323,1276.0,0.350177305,44821,20,False,False,False,False
Palo Verde College,Blythe,CA,92225,https://www.paloverde.edu/,https://misweb.cccco.edu/npc/951/npcalc.htm,1288,9884,20851,13500.0,4087,13310,0,36389,0.3217,,,0.6395348837,14998,25,False,True,True,False
Palomar College,San Marcos,CA,92069-1487,www2.palomar.edu/,https://misweb.cccco.edu/npc/061/npcalc.htm,1348,10644,13866,13500.0,15057,4781,0,42300,0.3003,,,0.5383654086,21290,23,False,True,True,False
Pasadena City College,Pasadena,CA,91106-2003,pasadena.edu/,https://misweb.cccco.edu/npc/771/npcalc.htm,1172,9572,9773,6651.0,19504,682,0,43937,0.4265,,,0.5635898978,18768,22,False,True,True,False
Pepperdine University,Malibu,CA,90263,www.pepperdine.edu/,https://seaver.pepperdine.edu/admission/financial-aid/undergraduate/npc,63142,63142,80152,23510.0,3656,0,31203,82939,0.8347,0.4871,1399.0,0.1761658031,69305,20,False,False,False,False
Pitzer College,Claremont,CA,91711-6101,https://www.pitzer.edu/,https://npc.collegeboard.org/app/pitzer,60578,60578,79558,16750.0,1212,0,25761,69512,0.8692,0.184,,0.23,71480,20,False,False,True,False
Platt College-San Diego,San Diego,CA,92115-3919,www.platt.edu/,www.platt.edu/financial-aid/tuition-net-cost-calculator/,15310,15310,33745,15895.0,69,0,28859,49782,0.8462,,,0.4476190476,22325,24,False,True,True,False
Point Loma Nazarene University,San Diego,CA,92106-2899,www.pointloma.edu/,www.pointloma.edu/NPC,41100,41100,54207,22990.0,3149,0,26481,63998,0.7433,0.8193,,0.2931174089,59409,23,False,False,True,False
Pomona College,Claremont,CA,91711-6319,www.pomona.edu/,https://npc.collegeboard.org/student/app/pomona,59238,59238,77810,11782.0,1699,0,5903,77779,0.9382,0.0702,1520.0,0.2991803279,42689,19,False,False,False,False
Porterville College,Porterville,CA,93257,www.portervillecollege.edu/,https://misweb.cccco.edu/npc/523/npcalc.htm,1409,9539,13336,13500.0,2757,4547,0,36328,0.3099,,,0.6300578035,18303,22,False,True,True,False
Professional Institute of Beauty,El Monte,CA,91731,www.pib.edu/,www.pib.edu/calculator.html,0,0,0,3001.0,119,0,14143,16886,0.4587,,,,17769,33,False,True,True,True
Santa Ana College,Santa Ana,CA,92706-3398,www.sac.edu/,https://misweb.cccco.edu/npc/871/npcalc.htm,1180,8788,10439,6871.0,20309,652,0,43552,0.2725,,,0.6960576515,22576,23,False,True,True,False
Pardee RAND Graduate School,Santa Monica,CA,90401-3208,www.prgs.edu/,https://www.prgs.edu/admissions/funding-your-phd.html,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Shasta School of Cosmetology,Redding,CA,96003,www.shastaschoolofcosmetology.com/,https://hambeltonbeauty.com/NETPRICECALCULATOR/index.html,0,0,0,13500.0,119,0,9373,0,0.7115,,,0.5,19727,26,False,True,True,False
University of Redlands,Redlands,CA,92373-0999,www.redlands.edu/,www.redlands.edu/npc,55678,55678,70206,26000.0,2301,0,20351,72690,0.6808,0.8187,1215.0,0.3523459062,57353,23,False,False,False,False
College of the Redwoods,Eureka,CA,95501-9300,https://www.redwoods.edu/,https://www.redwoods.edu/financialaid/Cost,1147,8539,12530,8080.0,3211,3354,0,36243,0.2303,,,0.4694976077,12590,25,False,True,True,False
Salon Success Academy-Upland,Upland,CA,91786,www.salonsuccessacademy.com/,www.salonsuccessacademy.com/wp-content/uploads/2021/09/Upland.html,0,0,0,7177.0,253,0,16062,26956,0.6746,,,0.5855855856,14535,26,False,True,True,False
Salon Success Academy-Corona,Corona,CA,92881,www.salonsuccessacademy.com/,www.salonsuccessacademy.com/wp-content/uploads/2021/09/Corona.html,0,0,0,7177.0,236,0,16655,22412,0.8333,,,0.5130434783,14969,24,False,True,True,False
Rio Hondo College,Whittier,CA,90601-1616,www.riohondo.edu/,www.riohondo.edu/financial-aid/,1388,9884,11678,5500.0,14394,3736,0,44950,0.2444,,,0.6826999734,19375,22,False,True,True,False
Riverside City College,Riverside,CA,92506,www.rcc.edu/,misweb.cccco.edu/npc/961/npcalc.htm,1420,10000,11778,8000.0,16317,3823,0,41091,0.3309,,,0.5571788413,19199,23,False,True,True,False
Dongguk University Los Angeles,Los Angeles,CA,90020-1704,www.dula.edu/,www.dula.edu/students/financial-aid/calculator,0,0,0,13500.0,2,0,0,0,,,,,0,0,True,True,True,True
Sacramento City College,Sacramento,CA,95822-1386,https://www.scc.losrios.edu/,https://www.scc.losrios.edu/admissions/cost-of-attendance/net-price-calculator,1288,10768,12894,10500.0,15947,3960,0,42214,0.2565,,,0.5058058523,14424,25,False,True,True,False
Saddleback College,Mission Viejo,CA,92692-3635,www.saddleback.edu/,misweb.cccco.edu/npc/891/npcalc.htm,1150,9814,11746,9500.0,14307,2270,0,50874,0.4621,,,0.4118329466,19305,25,False,True,True,False
Samuel Merritt University,Oakland,CA,94609,www.samuelmerritt.edu/,Not Available. We will work on replacing this,0,0,0,20825.0,674,0,0,143238,,,,0.3201581028,30597,29,True,True,True,False
San Diego City College,San Diego,CA,92101-4787,www.sdcity.edu/,misweb.cccco.edu/npc/071/npcalc.htm,1144,7440,13829,7689.0,9918,5016,0,38503,0.2335,,,0.5816831683,15000,25,False,True,True,False
San Diego Mesa College,San Diego,CA,92111-4998,www.sdmesa.edu/,https://misweb.cccco.edu/npc/072/npcalc.htm,1144,7440,14035,4725.0,14882,5476,0,45120,0.3224,,,0.48779415,18693,23,False,True,True,False
San Diego Miramar College,San Diego,CA,92126-2999,www.sdmiramar.edu/,https://misweb.cccco.edu/npc/073/npcalc.htm,1144,7440,13887,6750.0,10622,5670,0,48224,0.4173,,,0.4462074303,18435,25,False,True,True,False
San Diego State University,San Diego,CA,92182-0001,www.sdsu.edu/,https://www2.calstate.edu/attend/paying-for-college/pages/csu-costs.aspx,8174,20054,23482,15000.0,31810,7220,0,64909,0.7707,0.3926,,0.4119461928,32530,22,False,False,True,False
University of San Diego,San Diego,CA,92110-2492,www.sandiego.edu/,www.sandiego.edu/admissions/undergraduate/tuition-financial-aid/net-price-calculator.php,54554,54554,72092,22940.0,5569,0,19659,86522,0.8134,0.5261,,0.2486231314,70085,20,False,False,True,False
San Francisco Conservatory of Music,San Francisco,CA,94102-6011,https://sfcm.edu/,https://sfcm.edu/admissions/cost-aid/tuition-fees,52800,52800,73761,27000.0,221,0,36958,0,0.6591,0.4158,,,49656,21,False,False,True,True
San Francisco State University,San Francisco,CA,94132,www.sfsu.edu/,https://financialaid.sfsu.edu/cost-attendance,7524,19404,23609,15371.0,21035,9082,0,68077,0.5416,0.942,,0.4820712432,27895,22,False,False,True,False
University of San Francisco,San Francisco,CA,94117-1080,https://www.usfca.edu/,https://www.usfca.edu/admission/financial-aid/net-price-calculator,55532,55532,73981,23000.0,5980,0,32074,89812,0.7492,0.7118,1323.0,0.2801204819,57928,20,False,False,False,False
San Joaquin College of Law,Clovis,CA,93612-1312,www.sjcl.edu/,Not Available. We will work on replacing this,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
San Joaquin Delta College,Stockton,CA,95207,www.deltacollege.edu/,https://www.deltacollege.edu/student-services/financial-aid-and-scholarships/cost-estimates/net-price-calculator,1288,9072,8551,7500.0,12462,362,0,43212,0.2969,,,0.5642076503,16969,24,False,True,True,False
San Joaquin Valley College-Visalia,Visalia,CA,93291-9283,www.sjvc.edu/,www.sjvc.edu/net-price-calculator,0,0,0,10674.0,2144,0,25036,38317,0.3034,,,0.5905030559,15708,26,False,True,True,False
San Joaquin Valley College-Bakersfield,Bakersfield,CA,93309-2659,www.sjvc.edu/,https://www.sjvc.edu/net-price-calculator,0,0,0,10674.0,817,0,21656,38317,0.4901,,,0.5905030559,15708,26,False,True,True,False
William Jessup University,Rocklin,CA,95765-3707,www.jessup.edu/,www.jessup.edu/financial-aid/undergraduate/#tab_undergrad-net-price-calculator,37150,37150,53732,23700.0,1123,0,27725,56257,0.551,0.6592,1130.0,0.3268892794,47787,24,False,False,False,False
San Jose City College,San Jose,CA,95128-2798,www.sjcc.edu/,https://misweb.cccco.edu/npc/472/npcalc.htm,1366,9486,24496,13500.0,6245,15994,0,46215,0.3157,,,0.58111031,15562,27,False,True,True,False
San Jose State University,San Jose,CA,95192-0001,www.sjsu.edu/,https://www2.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,7899,19779,24114,15000.0,26735,10038,0,78988,0.6861,0.7671,,0.4904813496,29408,22,False,False,True,False
College of San Mateo,San Mateo,CA,94402-3784,www.collegeofsanmateo.edu/,https://misweb.cccco.edu/npc/372/npcalc.htm,1376,9496,11967,14695.0,6019,398,0,54172,0.4395,,,0.5095238095,20282,23,False,True,True,False
Santa Barbara City College,Santa Barbara,CA,93109-2394,www.sbcc.edu/,https://misweb.cccco.edu/npc/651/npcalc.htm,1234,9322,18592,11000.0,10514,9780,0,47647,0.4209,,,0.4572147651,22909,24,False,True,True,False
Santa Clara University,Santa Clara,CA,95053,www.scu.edu/,https://www.scu.edu/financialaid/Net-Price-Calculator.cfm,57534,57534,75576,19162.0,6103,0,29302,109183,0.8967,0.5211,1379.0,0.1650589496,97113,20,False,False,False,False
Santa Monica College,Santa Monica,CA,90405-1628,https://www.smc.edu/,https://misweb.cccco.edu/npc/781/npcalc.htm,1150,9094,11194,6450.0,20376,3390,0,42193,0.3206,,,0.501534573,16926,22,False,True,True,False
Santa Rosa Junior College,Santa Rosa,CA,95401-4395,www.santarosa.edu/,https://misweb.cccco.edu/npc/261/npcalc.htm,1318,9310,15548,9500.0,13164,6798,0,47224,0.3353,,,0.47703765,19251,24,False,True,True,False
Saybrook University,Pasadena,CA,91103,https://www.saybrook.edu/,https://www.saybrook.edu/how-to-apply-for-financial-aid/how-to-determine-need/,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Scripps College,Claremont,CA,91711-3905,www.scrippscollege.edu/,https://npc.collegeboard.org/student/app/scrippscollege,60712,60712,79740,13500.0,1073,0,14150,77539,0.8318,0.2791,1467.0,,78713,20,False,False,False,True
College of the Sequoias,Visalia,CA,93277-2214,https://www.cos.edu/,https://www.cos.edu/en-us/admissions/financial-aid/net-price-calculator,1394,8338,8155,4500.0,10380,142,0,39092,0.3233,,,0.5736533061,19124,23,False,True,True,False
Shasta Bible College and Graduate School,Redding,CA,96002,www.shasta.edu/,https://www.shasta.edu/netpricecalc.html,14460,14460,23673,13500.0,24,0,0,28891,,1.0,,,12253,26,True,False,True,True
Shasta College,Redding,CA,96003,https://www.shastacollege.edu/,https://misweb.cccco.edu/npc/171/npcalc.htm,1191,8271,13165,14250.0,4754,4183,0,39269,0.2668,,,0.5265336846,13661,26,False,True,True,False
Sierra College,Rocklin,CA,95677-3397,https://www.sierracollege.edu/,https://misweb.cccco.edu/npc/271/npcalc.htm,1156,8548,10971,10500.0,12531,2417,0,45294,0.3484,,,0.4471715755,17349,25,False,True,True,False
Sierra College of Beauty,Merced,CA,95340,sierrabeautycollege.net/blog3/,sierrabeautycollege.net/blog3/cost/,0,0,0,13500.0,157,0,6862,18519,0.8038,,,0.6117647059,10182,26,False,True,True,False
Trinity Law School,Santa Ana,CA,92705,tls.edu/,tls.edu/tuition/,0,0,0,26082.0,0,0,0,46989,,,,0.2960526316,38553,26,True,True,True,False
Simpson University,Redding,CA,96003-8606,www.simpsonu.edu/,https://simpsonu.studentaidcalculator.com/survey.aspx,37480,37480,52041,18750.0,704,0,22475,54340,0.4877,,,0.3757455268,34919,27,False,True,True,False
College of the Siskiyous,Weed,CA,96094-2899,www.siskiyous.edu/,https://misweb.cccco.edu/npc/181/npcalc.htm,1444,9844,14259,10750.0,932,6723,0,39098,0.2513,,,0.4460431655,18709,24,False,True,True,False
Charles A Jones Career and Education Center,Sacramento,CA,95824-1529,www.caj.scusd.edu/,www.scusd.edu/sites/main/files/npcalc.htm,0,0,0,5512.0,98,33232,0,41047,0.5011,,,0.604719764,14942,28,False,True,True,False
Skyline College,San Bruno,CA,94066-1698,skylinecollege.edu/,https://misweb.cccco.edu/npc/373/npcalc.htm,1362,9508,10564,13500.0,6038,1,0,55702,0.4043,,,0.5275526742,19469,23,False,True,True,False
San Bernardino Valley College,San Bernardino,CA,92410-2798,www.valleycollege.edu/,https://misweb.cccco.edu/npc/982/npcalc.htm,744,5057,14283,13500.0,9194,6907,0,39676,0.1981,,,0.5953674578,16948,25,False,True,True,False
Saint Mary's College of California,Moraga,CA,94575,https://www.stmarys-ca.edu/,https://www.stmarys-ca.edu/financial-aid/net-price-calculator,53932,53932,71268,23691.0,1994,0,23731,78812,0.7261,0.8789,,0.2552083333,72847,20,False,False,True,False
Solano Community College,Fairfield,CA,94534-3197,www.solano.edu/,https://misweb.cccco.edu/npc/281/npcalc.htm,1172,7628,12458,12000.0,7213,4579,0,44170,0.3195,,,0.484508547,19386,25,False,True,True,False
Sonoma State University,Rohnert Park,CA,94928-3609,https://sonoma.edu/,https://www.calstate.edu/attend/paying-for-college/Pages/csu-costs.aspx,8060,19940,23866,16705.0,5892,9278,0,65986,0.5981,0.94,,0.4147465438,40508,22,False,False,True,False
South Baylo University,Anaheim,CA,92801-1701,www.southbaylo.edu/,www.southbaylo.edu/ca/npcalc,0,0,0,13500.0,0,0,0,0,,,,,16400,36,True,True,True,True
South Coast College,Orange,CA,92868-2609,www.southcoastcollege.edu/,www.southcoastcollege.edu/netcalc/,13409,13409,36245,20938.0,237,0,29705,44897,0.2941,,,0.4647887324,25000,29,False,True,True,False
Vanguard University of Southern California,Costa Mesa,CA,92626,https://www.vanguard.edu/,https://www.vanguard.edu/admissions/net-price-calculator,38700,38700,53254,22000.0,2001,0,18883,59541,0.6044,0.7484,,0.3588362069,42880,21,False,False,True,False
Concorde Career College-Garden Grove,Garden Grove,CA,92840-9201,https://www.concorde.edu/campus/garden-grove-california,https://enroll.myconcorde.edu/Npc,0,0,0,13000.0,803,0,18594,45711,0.7619,0.9629,,0.4634615385,19948,26,False,False,True,False
Southwestern College,Chula Vista,CA,91910-7299,https://www.swccd.edu/,https://misweb.cccco.edu/npc/091/npcalc.htm,1342,9490,19697,4500.0,14685,10757,0,40060,0.3158,,,0.5653573728,19399,23,False,True,True,False
Starr King School for the Ministry,Oakland,CA,94612,www.sksm.edu/,www.sksm.edu/,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Marshall B Ketchum University,Fullerton,CA,92831-1699,www.ketchum.edu/,www.ketchum.edu/course-catalog/mbku-course-catalog,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Southern California Institute of Architecture,Los Angeles,CA,90013-1822,www.sciarc.edu/,www.sciarc.edu/admissions/financial-aid/cost-to-attend,50690,50690,67666,13500.0,245,0,3635,71909,0.7884,0.5984,1100.0,,27841,24,False,False,False,True
University of Southern California,Los Angeles,CA,90089,www.usc.edu/,https://financialaid.usc.edu/npc,64726,64726,81298,18000.0,20505,0,12880,92498,0.9226,0.1202,1520.0,0.2471783296,45149,20,False,False,False,False
Southwestern Law School,Los Angeles,CA,90010-1106,https://www.swlaw.edu/,https://www.swlaw.edu/admissions-financial-aid/tuition-fees/student-service-fee-other-fees,0,0,0,13500.0,0,0,0,0,,,,,8190,29,True,True,True,True
Taft College,Taft,CA,93268,www.taftcollege.edu/,https://misweb.cccco.edu/npc/691/npcalc.htm,1108,7972,13417,13500.0,3749,4682,0,38861,0.309,,,0.626911315,21203,24,False,True,True,False
Claremont School of Theology,Claremont,CA,91711-3199,www.cst.edu/,www.cst.edu/,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Thomas Aquinas College,Santa Paula,CA,93060,https://thomasaquinas.edu/,https://thomasaquinas.edu/admission/net-price-calculator-financial-aid-calculator,27000,27000,38428,18000.0,516,0,22749,55619,0.8546,0.8473,1328.0,,97358,19,False,False,False,True
Epic Bible College & Graduate School,Sacramento,CA,95841,epic.edu/,epic.edu/financial/netpricecalculator/,9689,9689,0,13500.0,75,0,0,37822,,,,0.4680851064,19850,38,True,True,True,False
UEI College-Huntington Park,Huntington Park,CA,90255-2933,https://www.uei.edu/,https://enroll.uei.edu/Npc,0,0,0,9500.0,1173,0,27824,31141,0.6359,,,0.6324638931,10993,25,False,True,True,False
Concorde Career College-San Bernardino,San Bernardino,CA,92408-3403,https://www.concorde.edu/campus/san-bernardino-california,https://enroll.myconcorde.edu/Npc,0,0,0,9500.0,825,0,22086,39993,0.6108,1.0,,0.5861601085,17215,25,False,False,True,False
Concorde Career College-North Hollywood,North Hollywood,CA,91606-3134,https://www.concorde.edu/campus/north-hollywood-california,https://enroll.myconcorde.edu/Npc,0,0,0,9500.0,676,0,18822,50552,0.683,0.969,,0.549689441,17874,25,False,False,True,False
Ventura College,Ventura,CA,93003-3872,www.venturacollege.edu/,www.venturacollege.edu/departments/student_services/financial_aid/index.shtml,1398,8146,8412,13876.0,9451,3287,0,43430,0.4044,,,0.5665634675,22347,23,False,True,True,False
The Colleges of Law at Ventura,Ventura,CA,93003,https://www.collegesoflaw.edu/,https://www.collegesoflaw.edu/admissions/,0,0,0,13500.0,0,0,0,0,,,,,0,0,True,True,True,True
Bridges Beauty College,Victorville,CA,92395-3821,www.bridgesbeautycollege.com/,https://www.bridgesbeautycollege.com/gainfull_employment,0,0,0,13500.0,86,0,14409,17287,0.4546,,,,16425,25,False,True,True,True
Victor Valley College,Victorville,CA,92395-5850,www.vvc.edu/,https://misweb.cccco.edu/npc/991/npcalc.htm,1425,10125,19154,13500.0,10123,11618,0,36119,0.2355,,,0.5647259544,14660,24,False,True,True,False
Berkeley City College,Berkeley,CA,94704,www.berkeleycitycollege.edu/wp/,www.berkeleycitycollege.edu/wp/financial_aid/net-price-calculator/,1148,8684,17404,13500.0,4096,8709,0,41217,0.3985,,,0.4682997118,13864,25,False,True,True,False
Walden University,Minneapolis,MN,55401,www.waldenu.edu/,www.waldenu.edu/financial-aid/resources/net-price-calculator,12483,12483,0,20834.0,6274,0,0,42810,,,,0.5081266039,29737,36,True,True,True,False
Waynes College of Beauty,Salinas,CA,93906-2830,www.waynescollegeofbeauty.com/,www.waynescollegeofbeauty.com/,0,0,0,6333.0,42,0,13177,0,0.717,,,0.6296296296,15892,22,False,True,True,False
West Hills College-Coalinga,Coalinga,CA,93210,https://www.westhillscollege.com/coalinga/,https://www.westhillscollege.com/coalinga/admissions/cost-of-attendance/net-price-calculator.php,1380,10110,16509,6750.0,1902,7064,0,37633,0.3021,,,0.636977058,21911,23,False,True,True,False
